,inputs,hisco_1,prob_1,desc_1,hisco_2,prob_2,desc_2,hisco_3,prob_3,desc_3,hisco_4,prob_4,desc_4,hisco_5,prob_5,desc_5
2115,ge/de[SEP]invaliden,-1.0,0.8707085,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2116,ge/de[SEP]schreinereibesitzer,81120.0,0.9387622,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
2117,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2118,ge/de[SEP]isolierer,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2119,ge/de[SEP]reisevertreter,43200.0,0.76923054,Commercial Travellers and Manufacturers Agents,,,No pred,,,No pred,,,No pred,,,No pred
2120,ge/de[SEP]landwirtsfrau,61110.0,0.9872469,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2121,ge/de[SEP]arbeiter,99900.0,0.9896986,"Worker, No Further Information",,,No pred,,,No pred,,,No pred,,,No pred
2122,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2123,ge/de[SEP]landwirtstochter,61110.0,0.9605743,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2124,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2125,ge/de[SEP]kaufmannsehefrau,41025.0,0.98996794,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2126,ge/de[SEP]techniker,3200.0,0.98752916,"Technician, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2127,ge/de[SEP]hilfsarbeitersfrau,99910.0,0.96860754,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2128,ge/de[SEP]dekorateur,93920.0,0.9476895,BrushPainter (except Construction),16230.0,0.24308549,Interior Decoration Designer,,,No pred,,,No pred,,,No pred
2129,ge/de[SEP]schleifer,83540.0,0.7308477,Cutting Instruments Sharpener,,,No pred,,,No pred,,,No pred,,,No pred
2130,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2131,ge/de[SEP]techniker,3200.0,0.98752916,"Technician, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2132,ge/de[SEP]feinmechaniker,84230.0,0.9971085,Precision Instrument Maker,,,No pred,,,No pred,,,No pred,,,No pred
2133,ge/de[SEP]gutler und reichsbahnoberschaffner,61115.0,0.998428,Small Subsistence Farmer (Husbandman),36020.0,0.94448334,Railway Passenger Train Guard,,,No pred,,,No pred,,,No pred
2134,ge/de[SEP]liftfuhrer,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2135,ge/de[SEP]tapezierermeister,95925.0,0.9674517,Paperhanger,,,No pred,,,No pred,,,No pred,,,No pred
2136,ge/de[SEP]rentnerin,-1.0,0.99875104,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2137,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2138,ge/de[SEP]former,72500.0,0.9943355,"Metal Moulder or Coremaker, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2139,ge/de[SEP]kfm.angestellten,30000.0,0.22165568,"Clerical or Related Worker, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2140,ge/de[SEP]heizer,98330.0,0.37368548,Railway SteamEngine Fireman,98220.0,0.28741848,Ship's Fireman,96930.0,0.26661068,Boiler Fireman,,,No pred,,,No pred
2141,ge/de[SEP]gutsverwalter,21230.0,0.9821478,Farm Manager,,,No pred,,,No pred,,,No pred,,,No pred
2142,ge/de[SEP]baumaterialienhandler,41025.0,0.96224695,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2143,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163235,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
2144,ge/de[SEP]schriftsteller,39320.0,0.8035331,Correspondence Clerk,,,No pred,,,No pred,,,No pred,,,No pred
2145,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2146,ge/de[SEP]rentner,-1.0,0.99441504,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2147,ge/de[SEP]bankangestellten,33940.0,0.9805666,Finance Clerk,,,No pred,,,No pred,,,No pred,,,No pred
2148,ge/de[SEP]goldschmied,88050.0,0.99868983,Goldsmith and Silversmith,,,No pred,,,No pred,,,No pred,,,No pred
2149,ge/de[SEP]schachtmeister,22620.0,0.9908717,"Supervisor and General Foreman (Mining, Quarrying and WellDrilling)",,,No pred,,,No pred,,,No pred,,,No pred
2150,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2151,ge/de[SEP]korbmacher,94220.0,0.9976597,Basket Maker,,,No pred,,,No pred,,,No pred,,,No pred
2152,ge/de[SEP]studienrat,13200.0,0.9986425,"Secondary Education Teacher, Subject Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2153,ge/de[SEP]spediteur,39120.0,0.9642878,Dispatching and Receiving Clerk,,,No pred,,,No pred,,,No pred,,,No pred
2154,ge/de[SEP]schuhmacher und kirchendiener,80110.0,0.9992244,"Shoemaker, General",55140.0,0.9905008,Verger,,,No pred,,,No pred,,,No pred
2155,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163235,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
2156,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2157,ge/de[SEP]landwirtsfrau,61110.0,0.9872469,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2158,ge/de[SEP]buchhalterin,33110.0,0.99842477,"Bookkeeper, General",,,No pred,,,No pred,,,No pred,,,No pred
2159,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2160,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2161,ge/de[SEP]schuhmacher,80110.0,0.99635553,"Shoemaker, General",,,No pred,,,No pred,,,No pred,,,No pred
2162,ge/de[SEP]spengler,87310.0,0.98539263,"SheetMetal Worker, General",,,No pred,,,No pred,,,No pred,,,No pred
2163,ge/de[SEP]invalidenrentner,-1.0,0.9912369,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2164,ge/de[SEP]backermeistersfrau,77610.0,0.9594253,"Baker, General",,,No pred,,,No pred,,,No pred,,,No pred
2165,ge/de[SEP]drogerieinhaberin,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2166,ge/de[SEP]fleischrahrer,77310.0,0.30778164,"Butcher, General",,,No pred,,,No pred,,,No pred,,,No pred
2167,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2168,ge/de[SEP]gerbermeister,76145.0,0.9983114,Tanner,,,No pred,,,No pred,,,No pred,,,No pred
2169,ge/de[SEP]dienstknecht,54020.0,0.9933982,House Servant,,,No pred,,,No pred,,,No pred,,,No pred
2170,ge/de[SEP]diplomlandwirt,20210.0,0.6837459,Government Administrator,,,No pred,,,No pred,,,No pred,,,No pred
2171,ge/de[SEP]bauersfrau,61110.0,0.9993315,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2172,ge/de[SEP]sandbaggereiinhaber,21110.0,0.43723956,General Manager,,,No pred,,,No pred,,,No pred,,,No pred
2173,ge/de[SEP]krieginvaliden,20110.0,0.8352022,Legislative Official,,,No pred,,,No pred,,,No pred,,,No pred
2174,ge/de[SEP]auskunfteiinhaber,21110.0,0.3761188,General Manager,,,No pred,,,No pred,,,No pred,,,No pred
2175,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2176,ge/de[SEP]stationsmeisterswitwe,22210.0,0.82183444,Railway Station Master,98440.0,0.28917524,Railway Shunter,,,No pred,,,No pred,,,No pred
2177,ge/de[SEP]fabrikarbeiter,99930.0,0.99664176,Factory Worker,,,No pred,,,No pred,,,No pred,,,No pred
2178,ge/de[SEP]sagewerkshilfsarbeiter,73210.0,0.85632396,"Sawyer, General",,,No pred,,,No pred,,,No pred,,,No pred
2179,ge/de[SEP]zugsschaffner,36000.0,0.9187213,"Transport Conductor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2180,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2181,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2182,ge/de[SEP]gartnergehilfen,62700.0,0.64320767,Nursery Workers and Gardeners,,,No pred,,,No pred,,,No pred,,,No pred
2183,ge/de[SEP]gartenbautechniker,3310.0,0.8435803,"Civil Engineering Technician, General",5490.0,0.2272332,Other Life Sciences Technicians,,,No pred,,,No pred,,,No pred
2184,ge/de[SEP]friseursfrau,57025.0,0.9977023,Women's or Men's Hairdresser,,,No pred,,,No pred,,,No pred,,,No pred
2185,ge/de[SEP]dentisten und friseur,57025.0,0.97944176,Women's or Men's Hairdresser,6310.0,0.8219863,"Dentist, General",95360.0,0.354629,Roof Thatcher,,,No pred,,,No pred
2186,ge/de[SEP]reichsbahnbediensteten,39960.0,0.9361034,Railway Clerk,,,No pred,,,No pred,,,No pred,,,No pred
2187,ge/de[SEP]schlosser und tankstelleninhaber,84105.0,0.70392483,"Machinery Fitter, General",87105.0,0.37367353,"Plumber, General",33990.0,0.2575484,"Other Bookkeepers, Cashiers and Related Workers",,,No pred,,,No pred
2188,ge/de[SEP]maurersehefrau,95120.0,0.6327559,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
2189,ge/de[SEP]optiker,7530.0,0.98706144,Dispensing Optician,,,No pred,,,No pred,,,No pred,,,No pred
2190,ge/de[SEP]bahnschlosser,87430.0,0.8799049,Structural Steel Worker (Workshop),,,No pred,,,No pred,,,No pred,,,No pred
2191,ge/de[SEP]schafer,62430.0,0.99751806,Sheep Farm Worker,,,No pred,,,No pred,,,No pred,,,No pred
2192,ge/de[SEP]maschinenschlossersehefrau,84105.0,0.9448801,"Machinery Fitter, General",,,No pred,,,No pred,,,No pred,,,No pred
2193,ge/de[SEP]privatiere,58340.0,0.8946361,Other Military Ranks,,,No pred,,,No pred,,,No pred,,,No pred
2194,ge/de[SEP]mullersfrau,77120.0,0.99679345,Grain Miller,,,No pred,,,No pred,,,No pred,,,No pred
2195,ge/de[SEP]zimmermann,95410.0,0.99491334,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
2196,ge/de[SEP]bauarbeiter,95000.0,0.98232883,"Bricklayers, Carpenters and Other Construction Workers",,,No pred,,,No pred,,,No pred,,,No pred
2197,ge/de[SEP]maurergehilfen,95120.0,0.9943773,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
2198,ge/de[SEP]schlossergehilfen,87430.0,0.49677145,Structural Steel Worker (Workshop),87105.0,0.38982448,"Plumber, General",84105.0,0.24204238,"Machinery Fitter, General",,,No pred,,,No pred
2199,ge/de[SEP]friseur,57025.0,0.9984763,Women's or Men's Hairdresser,,,No pred,,,No pred,,,No pred,,,No pred
2200,ge/de[SEP]mechaniker,84900.0,0.4413025,"Machinery Fitter (except Electrical), Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2201,ge/de[SEP]kaser,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2202,ge/de[SEP]konditormeister,77630.0,0.9936627,Pastry Maker,,,No pred,,,No pred,,,No pred,,,No pred
2203,ge/de[SEP]bauernsohn,61110.0,0.89937085,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2204,ge/de[SEP]bauhilfsarbeiter,99910.0,0.99975365,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2205,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2206,ge/de[SEP]ldw. arbeiter,99900.0,0.941011,"Worker, No Further Information",,,No pred,,,No pred,,,No pred,,,No pred
2207,ge/de[SEP]mietautobesitzer,-1.0,0.9114752,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2208,ge/de[SEP]schreinermeister,81120.0,0.99954236,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
2209,ge/de[SEP]gartner,62700.0,0.9282653,Nursery Workers and Gardeners,,,No pred,,,No pred,,,No pred,,,No pred
2210,ge/de[SEP]schiffseigner,4217.0,0.9175909,Ship's Master (Sea or Inland Waterways),,,No pred,,,No pred,,,No pred,,,No pred
2211,ge/de[SEP]maler,93120.0,0.99980205,Building Painter,,,No pred,,,No pred,,,No pred,,,No pred
2212,ge/de[SEP]heizhausobmann,54020.0,0.3787461,House Servant,61110.0,0.34385443,General Farmer,,,No pred,,,No pred,,,No pred
2213,ge/de[SEP]lokomotivfuhrer,98320.0,0.9664239,Railway Engine Driver,,,No pred,,,No pred,,,No pred,,,No pred
2214,ge/de[SEP]kochin,53100.0,0.99824226,"Cook, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2215,ge/de[SEP]schuhmacher,80110.0,0.99635553,"Shoemaker, General",,,No pred,,,No pred,,,No pred,,,No pred
2216,ge/de[SEP]vertreter,43200.0,0.99490756,Commercial Travellers and Manufacturers Agents,,,No pred,,,No pred,,,No pred,,,No pred
2217,ge/de[SEP]postagenten,37020.0,0.99140257,Mail Sorting Clerk,,,No pred,,,No pred,,,No pred,,,No pred
2218,ge/de[SEP]bauhilfsarbeiter,99910.0,0.99975365,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2219,ge/de[SEP]landwirtstochter,61110.0,0.9605743,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2220,ge/de[SEP]schreinermeister,81120.0,0.99954236,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
2221,ge/de[SEP]gastwirt und bauern,51020.0,0.9984503,Working Proprietor (Hotel and Restaurant),61110.0,0.9911425,General Farmer,,,No pred,,,No pred,,,No pred
2222,ge/de[SEP]kfm. angestellten,53100.0,0.6451159,"Cook, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2223,ge/de[SEP]friseur,57025.0,0.9984763,Women's or Men's Hairdresser,,,No pred,,,No pred,,,No pred,,,No pred
2224,ge/de[SEP]maurermeister,95120.0,0.9950305,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
2225,ge/de[SEP]schreinergehilfen,81120.0,0.99760735,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
2226,ge/de[SEP]gastwirt,51020.0,0.99553645,Working Proprietor (Hotel and Restaurant),,,No pred,,,No pred,,,No pred,,,No pred
2227,ge/de[SEP]photographen,16310.0,0.99292654,"Photographer, General",,,No pred,,,No pred,,,No pred,,,No pred
2228,ge/de[SEP]kath. pfarrer,14120.0,0.99907696,Minister of Religion,,,No pred,,,No pred,,,No pred,,,No pred
2229,ge/de[SEP]angestellten,-1.0,0.7527177,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2230,ge/de[SEP]walzenfuhrer,97990.0,0.31996554,Other Material Handling Equipment Operators,,,No pred,,,No pred,,,No pred,,,No pred
2231,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
2232,ge/de[SEP]rentnerin,-1.0,0.99875104,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2233,ge/de[SEP]maurerpolier,22675.0,0.9985812,Supervisor and General Foreman (Construction Work),,,No pred,,,No pred,,,No pred,,,No pred
2234,ge/de[SEP]apothekerin,6710.0,0.9949563,Pharmacist,,,No pred,,,No pred,,,No pred,,,No pred
2235,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2236,ge/de[SEP]bergmannsehefrau,61110.0,0.9067618,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2237,ge/de[SEP]erbhofbauern,61110.0,0.9800309,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2238,ge/de[SEP]maurer,95120.0,0.9987556,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
2239,ge/de[SEP]landwirtssohn,61110.0,0.9922652,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2240,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2241,ge/de[SEP]kaffeehausbesitzerin,51050.0,0.73526037,"Working Proprietor  , Bar and Snack Bar)",,,No pred,,,No pred,,,No pred,,,No pred
2242,ge/de[SEP]backersfrau,77610.0,0.9863123,"Baker, General",,,No pred,,,No pred,,,No pred,,,No pred
2243,ge/de[SEP]hafnergehilfen,83990.0,0.32761145,"Other Blacksmiths, Toolmakers and MachineTool Operators Not Elsewhere Classified",,,No pred,,,No pred,,,No pred,,,No pred
2244,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2245,ge/de[SEP]landund,61110.0,0.97390467,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2246,ge/de[SEP]invaliden,-1.0,0.8707085,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2247,ge/de[SEP]schneidergehilfen,79100.0,0.99537224,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2248,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2249,ge/de[SEP]austragler,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2250,ge/de[SEP]maschinenstrikkerin,75500.0,0.9791439,"Knitter, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2251,ge/de[SEP]fabrikarbeitersfrau,99930.0,0.9651797,Factory Worker,,,No pred,,,No pred,,,No pred,,,No pred
2252,ge/de[SEP]drehersehefrau,83320.0,0.677757,Lathe SetterOperator,82050.0,0.33193514,Stone LatheOperator,,,No pred,,,No pred,,,No pred
2253,ge/de[SEP]kath. pater,14120.0,0.4851575,Minister of Religion,,,No pred,,,No pred,,,No pred,,,No pred
2254,ge/de[SEP]bauern,61110.0,0.9936168,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2255,ge/de[SEP]rechtsanwalt und notar,12310.0,0.98549867,Notary,12110.0,0.95091146,Lawyer,,,No pred,,,No pred,,,No pred
2256,ge/de[SEP]kath. expositus,-1.0,0.3079925,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
2257,ge/de[SEP]steinmetz,95145.0,0.49602064,Marble Setter,,,No pred,,,No pred,,,No pred,,,No pred
2258,ge/de[SEP]schriftsteller und sprachlehrer,39320.0,0.6909253,Correspondence Clerk,13215.0,0.40234128,Languages and Literature Teacher (Second Level),,,No pred,,,No pred,,,No pred
2259,ge/de[SEP]muller,77120.0,0.99916613,Grain Miller,,,No pred,,,No pred,,,No pred,,,No pred
2260,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2261,ge/de[SEP]erbhofbauern,61110.0,0.9800309,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2262,ge/de[SEP]zugeherin,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2263,ge/de[SEP]offiziantenswitwe,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2264,ge/de[SEP]mechanikermeister,84900.0,0.5026916,"Machinery Fitter (except Electrical), Specialisation Unknown",84300.0,0.24541593,MotorVehicle Mechanics,,,No pred,,,No pred,,,No pred
2265,ge/de[SEP]kofferfabrikanten,21110.0,0.88872015,General Manager,,,No pred,,,No pred,,,No pred,,,No pred
2266,ge/de[SEP]brauer,77810.0,0.9985789,"Brewer, General",,,No pred,,,No pred,,,No pred,,,No pred
2267,ge/de[SEP]schwimmlehrer,13020.0,0.549775,"Teacher, Level and Subject Unknown, Not University and Higher Education Level",13990.0,0.42941788,Other Teachers,,,No pred,,,No pred,,,No pred
2268,ge/de[SEP]maria,58340.0,0.31223148,Other Military Ranks,,,No pred,,,No pred,,,No pred,,,No pred
2269,ge/de[SEP]kraftfahrzeughandwerker,84300.0,0.7902073,MotorVehicle Mechanics,,,No pred,,,No pred,,,No pred,,,No pred
2270,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
2271,ge/de[SEP]landwirt und kramer,61110.0,0.99845004,General Farmer,41030.0,0.99779224,Working Proprietor (Retail Trade),,,No pred,,,No pred,,,No pred
2272,ge/de[SEP]glasblaser,89120.0,0.98883456,Glass Blower,,,No pred,,,No pred,,,No pred,,,No pred
2273,ge/de[SEP]schlosser,87105.0,0.6017104,"Plumber, General",87430.0,0.41045025,Structural Steel Worker (Workshop),84105.0,0.32587647,"Machinery Fitter, General",,,No pred,,,No pred
2274,ge/de[SEP]schlosser,87105.0,0.6017104,"Plumber, General",87430.0,0.41045025,Structural Steel Worker (Workshop),84105.0,0.32587647,"Machinery Fitter, General",,,No pred,,,No pred
2275,ge/de[SEP]friseur,57025.0,0.9984763,Women's or Men's Hairdresser,,,No pred,,,No pred,,,No pred,,,No pred
2276,ge/de[SEP]installateur,87105.0,0.98847663,"Plumber, General",,,No pred,,,No pred,,,No pred,,,No pred
2277,ge/de[SEP]kassiererin,33135.0,0.9212974,"Cashier, Office or Cash Desk",,,No pred,,,No pred,,,No pred,,,No pred
2278,ge/de[SEP]viktualienhandler,41025.0,0.99239856,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2279,ge/de[SEP]spengler,87310.0,0.98539263,"SheetMetal Worker, General",,,No pred,,,No pred,,,No pred,,,No pred
2280,ge/de[SEP]metzger,77310.0,0.99615663,"Butcher, General",,,No pred,,,No pred,,,No pred,,,No pred
2281,ge/de[SEP]gartner,62700.0,0.9282653,Nursery Workers and Gardeners,,,No pred,,,No pred,,,No pred,,,No pred
2282,ge/de[SEP]bergmann,61110.0,0.9413026,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2283,ge/de[SEP]baumeister,61110.0,0.7460404,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2284,ge/de[SEP]versicherungsinspektor,44120.0,0.9968316,Insurance Salesman,,,No pred,,,No pred,,,No pred,,,No pred
2285,ge/de[SEP]maurer,95120.0,0.9987556,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
2286,ge/de[SEP]zimmermannsfrau,95410.0,0.9956333,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
2287,ge/de[SEP]vorarbeiter,99900.0,0.4132741,"Worker, No Further Information",63230.0,0.23236425,Forestry Worker,,,No pred,,,No pred,,,No pred
2288,ge/de[SEP]handler,41025.0,0.9920562,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2289,ge/de[SEP]kupferschnmiedehelfer,87330.0,0.95411396,Coppersmith,,,No pred,,,No pred,,,No pred,,,No pred
2290,ge/de[SEP]bankbeamten,33940.0,0.93136084,Finance Clerk,,,No pred,,,No pred,,,No pred,,,No pred
2291,ge/de[SEP]kath. pfarrer,14120.0,0.99907696,Minister of Religion,,,No pred,,,No pred,,,No pred,,,No pred
2292,ge/de[SEP]vertreter,43200.0,0.99490756,Commercial Travellers and Manufacturers Agents,,,No pred,,,No pred,,,No pred,,,No pred
2293,ge/de[SEP]metzgerstochter,77310.0,0.9915108,"Butcher, General",,,No pred,,,No pred,,,No pred,,,No pred
2294,ge/de[SEP]landw. arbeiter,62105.0,0.82834166,"FarmWorker, General",,,No pred,,,No pred,,,No pred,,,No pred
2295,ge/de[SEP]schmiedneisterswitwe,83110.0,0.93074197,"Blacksmith, General",,,No pred,,,No pred,,,No pred,,,No pred
2296,ge/de[SEP]helene,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2297,ge/de[SEP]weberin,75400.0,0.99898964,"Weaver, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
2298,ge/de[SEP]kufer,81930.0,0.99991024,Cooper,,,No pred,,,No pred,,,No pred,,,No pred
2299,ge/de[SEP]metzger,77310.0,0.99615663,"Butcher, General",,,No pred,,,No pred,,,No pred,,,No pred
2300,ge/de[SEP]kraftwagenfuhrer und bierbrauer,98500.0,0.99359894,MotorVehicle Drivers,77810.0,0.97380763,"Brewer, General",,,No pred,,,No pred,,,No pred
2301,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2302,ge/de[SEP]pachter,61110.0,0.9994079,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2303,ge/de[SEP]bauern,61110.0,0.9936168,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2304,ge/de[SEP]korbmacher,94220.0,0.9976597,Basket Maker,,,No pred,,,No pred,,,No pred,,,No pred
2305,ge/de[SEP]pianistin,17140.0,0.9999025,Instrumentalist,,,No pred,,,No pred,,,No pred,,,No pred
2306,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
2307,ge/de[SEP]bauern,61110.0,0.9936168,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2308,ge/de[SEP]ziegeleiarbeiter,89360.0,0.9741357,Brick and Tile Kilnman,,,No pred,,,No pred,,,No pred,,,No pred
2309,ge/de[SEP]eisendreher,83320.0,0.9969805,Lathe SetterOperator,,,No pred,,,No pred,,,No pred,,,No pred
2310,ge/de[SEP]kath. pfarrer,14120.0,0.99907696,Minister of Religion,,,No pred,,,No pred,,,No pred,,,No pred
2311,ge/de[SEP]transportgeschaftsinhaber,21110.0,0.99816376,General Manager,,,No pred,,,No pred,,,No pred,,,No pred
2312,ge/de[SEP]erzieherin,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
2313,ge/de[SEP]steuerinspektor,31020.0,0.86484677,Tax Collector,,,No pred,,,No pred,,,No pred,,,No pred
2314,ge/de[SEP]schwerkriegsbeschadigten,31040.0,0.3715856,Customs officer,,,No pred,,,No pred,,,No pred,,,No pred
2315,ge/de[SEP]gastwirt,51020.0,0.99553645,Working Proprietor (Hotel and Restaurant),,,No pred,,,No pred,,,No pred,,,No pred
2316,ge/de[SEP]erbhofbauern,61110.0,0.9800309,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
2317,ge/de[SEP]muller,77120.0,0.99916613,Grain Miller,,,No pred,,,No pred,,,No pred,,,No pred
2318,ge/de[SEP]bahnarbeiter,97415.0,0.95061255,Exacavator (Hand Tools),,,No pred,,,No pred,,,No pred,,,No pred
2319,ge/de[SEP]sauglingsund,61115.0,0.53947246,Small Subsistence Farmer (Husbandman),,,No pred,,,No pred,,,No pred,,,No pred
2320,ge/de[SEP]stationsgehilfen,59940.0,0.9964057,Nursing Aid,,,No pred,,,No pred,,,No pred,,,No pred
2321,ge/de[SEP]kraftfahrzeugreparaturwerkstatteninhaber,84300.0,0.4822442,MotorVehicle Mechanics,84990.0,0.2411054,Machinery Fitters (except Electrical),84975.0,0.23175055,PedalCycle Repairer,,,No pred,,,No pred
